Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C2, C3, C6, C7, C9",1206,9,100n,
"C10, C12, C4, C5, C8",1206,5,10u,
"D1, D2, D3",D_SMB,3,D_TVS,
D4,D_SMB,1,D_Schottky,
D5,D_SMB,1,SMBJ18CA-E3/52,
D6,D_SMB,1,D,
D7,1206,1,LED GREEN,
D8,1206,1,LED RED,
F1,1206,1,500mA,
"H1, H2, H3",MountingHole_3.2mm_M3_ISO7380,3,MountingHole,
J2,D369G99NP4,1,D369-G99-NP4,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
"Q1, Q3",SOT-23,2,BSS138,
Q2,SOT-23,1,Si2319CDS,
"R1, R10, R22, R23, R4, R7",1206,6,100k,
"R11, R12, R13, R24, R26, R27, R3, R31, R6, R8",1206,10,10k,
"R19, R21",1206,2,39k,
R20,1206,1,820k,
R25,1206,1,1M,
"R28, R29",1206,2,100R,
R30,1206,1,1k,
"RV1, RV2","Potentiometer_ACP_CA9-H2,5_Horizontal",2,20k,
"U1, U2, U5",SOIC-8_3.9x4.9mm_P1.27mm,3,LM393,
U4,SOT-223,1,LM1117-5.0,
U6,SOT-23-5,1,74AHC1G02,
U7,TO-252-3_TabPin2,1,MC78M12CDTG DPAK,
