Designator,Mid X,Mid Y,Rotation,Layer
C1,249.4788,-133.9596,180.0,bottom
C2,249.4564,-126.6698,180.0,bottom
C3,251.636,-115.062,180.0,bottom
C4,249.4806,-129.2352,180.0,bottom
D1,274.066,-120.4558,90.0,bottom
D2,250.5202,-120.9966,270.0,bottom
F1,268.8844,-120.4378,270.0,bottom
J1,267.56,-129.68,0.0,bottom
J2,256.49,-91.66,0.0,top
R1,257.5276,-118.5672,180.0,bottom
R2,257.4828,-121.158,0.0,bottom
R3,259.588,-109.0315,270.0,bottom
R4,251.6485,-107.823,180.0,bottom
R5,251.6525,-110.236,0.0,bottom
R6,251.6525,-112.649,180.0,bottom
R7,254.0,-122.3625,270.0,bottom
RV1,262.763,-118.7804,90.0,bottom
RV2,237.7948,-113.7766,90.0,bottom
U1,241.3164,-124.2568,0.0,bottom
U2,244.413,-113.03,180.0,bottom
U3,241.3666,-131.573,0.0,bottom
